Year,total_net_sales,total_units_sold,unique_items,total_discounts,total_refunds,net_sales_per_unit,net_sales_yoy_pct,units_yoy_pct
2024,1027751.93,227321,459,-19013.67,-1764.3,4.52,,
2025,1330894.93,264334,352,-19347.37,-1843.45,5.03,29.5,16.28
