Year,total_net_sales,total_units_sold,total_items_offered,total_discounts,total_refunds,avg_price_per_unit
2024,1027751.93,227321,459,-19013.67,-1764.3,4.52
2025,1330894.93,264334,352,-19347.37,-1843.45,5.03
