menu_type,2024,2025,dollar_change,pct_change
Rotating: Brioche Donut Flavor,91989.51,32242.35,-59747.159999999996,-64.9
Rotating: GF Muffin Flavor,42134.96,65853.69,23718.730000000003,56.3
Rotating: Mochi Donut Flavor,351607.25,369300.65,17693.400000000023,5.0
